YML076C	YLR256W	YBR112C	YKL020C	YBR083W	YDR463W	YCR096C	YCR040W	YLR013W	YML113W	YCL067C	YDR081C	YLR098C	YPR199C	YDR310C	YMR070W	YJL056C	YOL067C	YHR006W	YDR520C	YPL075W	YOL089C	YPL248C	YML051W	YFL021W	YDR098CB	YLL065W	YLR094C	YDR210WC	YKR003W	YEL035C	YCR018CA	YDR495C	YDR103W	YCL027W	YDR545W	YML126C	YDR099W	YLR082C	YDR493W	YCR041W	YDR277C	YGR220C	YHR156C	YKL178C	YBL113C	YNL073W	YDR048C	YBR020W	YGL169W
0.2482238	0.9436311	1.1197181	0.1524062	0.1275312	0.3842206	0.5939833	0.3690784	0.8709134	0.9004301	0.2971965	1.0479559	0.9736622	0.7591700	0.8264872	0.9285121	0.6362716	1.0304002	1.0635442	0.8639683	0.1144554	0.9448168	1.0386582	0.1261685	0.9432420	0.8459068	0.2169460	0.8036775	0.3793958	0.9698543	0.8610847	0.9816483	0.0604176	0.7377035	0.6998263	0.3469492	0.9412612	0.0010800	0.6563427	1.0250651	0.8959898	0.5253316	0.4105881	0.4334095	0.0553419	0.5817287	0.9133720	0.8616234	0.3539404	0.0045988
0.1875806	0.9195946	0.8658660	0.1699003	0.0062348	0.7323416	0.8248668	0.5821099	1.0128233	0.8652269	0.0996615	1.0412643	1.0667811	0.9832683	0.9642408	0.9695709	1.0233014	0.4098324	1.0474175	0.8607198	0.3116153	0.8469194	0.9687572	0.1159216	0.9878514	0.8187211	0.4540667	0.5255460	0.7636713	0.9792722	0.9243752	0.8228516	0.1123863	0.3790924	0.7208379	0.6753084	0.9835517	0.0492050	0.5021521	1.0143477	0.4211531	0.4844248	0.5031180	0.7397729	0.3394318	0.3067251	0.8601964	0.2641017	0.3689045	0.0059424
0.1383000	1.0577268	1.0040239	0.1020986	0.1182923	0.9052061	0.4294894	0.1800361	1.0759911	1.0288122	0.0910883	1.0669282	0.9939679	0.9207754	0.8147370	0.9774406	0.9075407	1.0101139	0.9747049	0.8149084	0.3651375	1.0232063	0.9851485	0.2512438	0.7374221	0.6663894	0.1245347	0.4332805	0.9017559	0.9560373	0.9732671	0.4802346	0.0171739	0.4893681	0.6110264	0.7063838	0.9172803	0.0012155	0.4132365	0.9929890	0.4350396	0.6444723	0.3096220	0.3020206	0.7875371	0.1983529	0.8324388	0.2821346	0.3583171	0.0763025
0.3011328	0.9264698	0.9313698	0.1034888	0.1312181	0.4080546	0.7239636	0.3193178	1.0566697	1.0967769	0.1133542	0.9720822	0.5679825	0.6552061	0.4715923	0.9276290	0.9804562	1.0189861	0.9586353	0.6118692	0.9227550	1.0200387	0.5404295	0.6305904	0.5948000	0.8483502	0.0624180	0.7239365	0.9676975	1.0043512	0.9749763	0.6992875	0.0177922	0.0528481	0.5691285	0.6604711	0.9963393	0.0007889	0.4382731	0.7114060	0.4846229	0.1378912	0.3328923	0.2159948	0.1493012	0.4501317	0.6220198	0.7780726	0.4175154	0.1393467
0.2436475	0.9588083	1.0122304	0.1331662	0.1357906	0.5634584	0.3825431	0.1250949	1.0433801	1.0280192	0.5548105	0.8418577	0.9885309	0.8565369	0.8778956	1.0089997	1.1003364	0.5255195	0.5524879	0.8978019	0.0791330	0.6227299	0.6711034	0.3632946	0.9301863	0.8867769	0.0939261	0.6824078	0.3476437	1.0008631	1.0203360	0.3672131	0.3013562	0.3566214	0.6559578	0.5776787	0.8683044	0.0000430	0.2258272	0.7907826	0.7903180	0.4841238	0.5594306	0.2072656	0.5186458	0.3566614	0.6866193	0.5408837	0.3918650	0.0794966
0.2200717	1.0239260	1.0243676	0.0910372	0.0083064	0.1442014	0.4575451	0.5367743	1.0261347	0.8390324	0.1596190	0.5521348	0.9999238	0.9261961	0.9324420	1.0669688	0.7436963	0.8060569	0.8351223	0.6417470	0.3110491	0.5679657	1.0034101	0.2359605	0.8276320	0.9229899	0.1660076	0.9726336	0.7392359	1.0428625	0.9257137	0.9967067	0.0089008	0.0204650	0.9406250	0.8249615	0.9068668	0.0000285	0.3742925	0.9911735	0.6429660	0.4770554	0.2704114	0.4470110	0.7113699	0.6768902	0.9334690	0.9351076	0.7799953	0.0058600
0.2216403	0.8888397	0.9880593	0.1028121	0.0028277	0.3943698	0.5361497	0.1751381	1.0217614	0.9653412	0.0561454	0.7791041	0.9659577	0.9900632	0.8466070	0.9890931	0.8360140	0.9815697	0.8397615	0.6251313	0.3478342	1.0336690	1.0062600	0.1440510	0.4974224	0.9569086	0.0013688	0.7764918	0.7860241	0.8902109	0.8945134	0.8394914	0.1222734	0.7937389	0.6474224	0.4337677	1.0128795	0.0000567	0.7073684	0.8973968	0.2103763	0.5201728	0.3805629	0.4262279	0.2791002	0.6126934	1.0297579	0.8421344	0.3975321	0.0710145
0.2345069	0.9782345	0.8064349	0.1129057	0.0044779	0.5493805	0.1254397	0.4341868	0.9859791	0.8986524	0.0990697	0.7143424	1.0461694	1.0633786	0.9588371	0.9579836	0.9922515	1.1168005	0.8851985	0.7833542	0.3062919	1.0032298	0.8869270	0.2855048	1.0447130	0.9553332	0.2167509	0.6240961	0.9069040	0.9703885	0.9566961	0.8969143	0.3685704	0.2965217	0.6071878	0.3858653	0.9637209	0.0001490	0.0803707	1.0050490	0.8226103	0.4562435	0.3696914	0.3611980	0.6207176	0.8478589	0.9100753	0.6461804	1.0295742	0.0076101
0.3100387	0.8796141	0.9408973	0.2120161	0.0078818	0.3540727	0.0973488	0.5682245	1.0038391	0.8352610	0.1004521	0.8236734	0.9612916	1.1162486	0.8482721	0.9576864	0.8467340	1.0707602	0.7320096	0.8263493	0.3090665	0.9980624	0.9993636	0.1992776	1.0541320	0.9943899	0.0010876	0.3860143	0.8963258	1.0795086	1.0060918	0.5456873	0.1638838	0.5306105	0.5506084	0.5382091	0.8320684	0.0464481	0.4310129	1.0382505	0.6239645	0.6393047	0.6385751	0.4058545	0.5525888	0.7339759	1.0035914	0.8104303	0.3372504	0.0075320
0.3093986	0.9408217	0.9646884	0.2527926	0.1361381	0.6125859	0.2919432	0.2382667	0.6987967	0.9362728	0.0464050	1.0298434	1.0061481	0.8915956	0.8901000	0.9083308	1.0327346	0.2856010	0.9734781	0.6498619	0.2347587	0.6924195	0.5719444	0.5351404	0.7072320	0.8766034	0.1049083	0.5959636	0.6748631	1.0189256	0.9117673	0.7712281	0.0645270	0.3130171	0.9766766	0.2369383	1.0547757	0.0483193	0.4999605	0.7099317	0.4519387	0.1611865	0.4747674	0.5393369	0.5796465	0.3563209	0.7273770	0.6169044	0.3176897	0.0228220
